NAME_1,Age range,Persons
Karnataka,5-9,5321
Karnataka,10-14,5640
Karnataka,15-19,5865
Karnataka,20-24,5930
Karnataka,25-29,5578
Karnataka,30-34,4970
Karnataka,35-39,4482
Karnataka,40-44,3970
Karnataka,45-49,3394
Karnataka,50-54,2767
Karnataka,55-59,2263
Karnataka,60-64,1947
Karnataka,65-69,1542
Karnataka,70-74,1199
Karnataka,75-79,718
Karnataka,80+,434
Kerala,0-4,2534
Kerala,5-9,2599
Kerala,10-14,2706
Kerala,15-19,2680
Kerala,20-24,2639
Kerala,25-29,2585
Kerala,30-34,2526
Kerala,35-39,2509
Kerala,40-44,2441
Kerala,45-49,2262
Kerala,50-54,1989
Kerala,55-59,1709
Kerala,60-64,1395
Kerala,65-69,1039
Kerala,70-74,879
Kerala,75-79,566
Kerala,80+,347
Tamil Nadu,0-4,5333
Tamil Nadu,5-9,5645
Tamil Nadu,10-14,6046
Tamil Nadu,15-19,6280
Tamil Nadu,20-24,6441
Tamil Nadu,25-29,6395
Tamil Nadu,30-34,6038
Tamil Nadu,35-39,5643
Tamil Nadu,40-44,5174
Tamil Nadu,45-49,4553
Tamil Nadu,50-54,3809
Tamil Nadu,55-59,3175
Tamil Nadu,60-64,2636
Tamil Nadu,65-69,1983
Tamil Nadu,70-74,1535
Tamil Nadu,75-79,912
Tamil Nadu,80+,549
North East States,0-4,1551
North East States,5-9,1589
North East States,10-14,1618
North East States,15-19,1549
North East States,20-24,1446
North East States,25-29,1305
North East States,30-34,1127
North East States,35-39,979
North East States,40-44,845
North East States,45-49,703
North East States,50-54,551
North East States,55-59,413
North East States,60-64,312
North East States,65-69,229
North East States,70-74,186
North East States,75-79,101
North East States,80+,61
